event_id,client_id,pro_id,event_type,date
E00001,CNT001,PRO0001,start,8/9/14
E00002,CNT001,PRO0002,start,10/17/19
E00003,CNT001,PRO0002,expansion,4/17/21
E00004,CNT001,PRO0002,expansion,9/17/21
E00005,CNT001,PRO0002,expansion,11/17/22
E00006,CNT001,PRO0003,start,2/1/23
E00007,CNT001,PRO0003,expansion,3/1/23
E00008,CNT001,PRO0003,expansion,7/1/23
E00009,CNT002,PRO0004,start,3/30/16
E00010,CNT002,PRO0005,start,2/29/20
E00011,CNT002,PRO0005,expansion,1/29/21
E00012,CNT002,PRO0005,expansion,4/29/22
E00013,CNT002,PRO0005,expansion,6/23/23
E00014,CNT002,PRO0006,start,8/17/20
E00015,CNT002,PRO0006,expansion,2/17/21
E00016,CNT002,PRO0006,expansion,6/17/23
E00017,CNT002,PRO0006,cancel,11/17/23
E00018,CNT003,PRO0009,start,7/11/22
E00019,CNT003,PRO0009,expansion,8/11/23
E00020,CNT004,PRO0011,start,3/8/17
E00021,CNT004,PRO0011,expansion,10/8/18
E00022,CNT004,PRO0011,expansion,6/8/19
E00023,CNT004,PRO0011,expansion,2/8/22
E00024,CNT005,PRO0014,start,5/10/19
E00025,CNT005,PRO0014,expansion,11/10/20
E00026,CNT005,PRO0014,cancel,8/10/21
E00027,CNT006,PRO0016,start,3/21/17
E00028,CNT006,PRO0017,start,3/7/20
E00029,CNT006,PRO0017,expansion,11/7/21
E00030,CNT006,PRO0017,expansion,4/7/23
E00031,CNT007,PRO0019,start,7/17/20
E00032,CNT007,PRO0020,start,5/19/15
E00033,CNT007,PRO0020,expansion,10/19/16
E00034,CNT007,PRO0020,expansion,2/19/18
E00035,CNT007,PRO0020,cancel,4/19/20
E00036,CNT008,PRO0022,start,9/10/12
E00037,CNT008,PRO0023,start,4/29/13
E00038,CNT008,PRO0023,expansion,12/29/14
E00039,CNT008,PRO0023,expansion,11/29/17
E00040,CNT008,PRO0023,cancel,3/29/20
E00041,CNT009,PRO0025,start,6/1/15
E00042,CNT009,PRO0026,start,9/2/20
E00043,CNT009,PRO0026,expansion,6/2/22
E00044,CNT009,PRO0026,expansion,10/2/22
E00045,CNT010,PRO0028,start,3/7/22
E00046,CNT010,PRO0029,start,8/26/17
E00047,CNT010,PRO0029,expansion,11/26/18
E00048,CNT010,PRO0029,expansion,3/26/20
E00049,CNT010,PRO0029,cancel,2/26/21
E00050,CNT011,PRO0033,start,12/31/17
E00051,CNT011,PRO0033,expansion,3/31/19
E00052,CNT011,PRO0033,expansion,2/29/20
E00053,CNT011,PRO0033,cancel,6/29/21
E00054,CNT012,PRO0036,start,3/11/13
E00055,CNT012,PRO0036,expansion,10/11/14
E00056,CNT012,PRO0036,cancel,6/11/16
E00057,CNT013,PRO0037,start,11/3/15
E00058,CNT013,PRO0038,expansion,1/23/23
E00059,CNT013,PRO0038,start,1/31/23
E00060,CNT013,PRO0038,expansion,5/23/23
E00061,CNT014,PRO0040,start,3/16/18
E00062,CNT014,PRO0041,start,12/17/18
E00063,CNT014,PRO0041,expansion,3/17/19
E00064,CNT014,PRO0041,cancel,9/17/19
E00065,CNT014,PRO0042,start,9/20/21
E00066,CNT014,PRO0042,expansion,10/20/21
E00067,CNT014,PRO0042,cancel,3/20/22
E00068,CNT015,PRO0045,start,3/14/14
E00069,CNT015,PRO0045,expansion,5/14/14
E00070,CNT015,PRO0045,cancel,10/14/14
E00071,CNT016,PRO0046,start,5/7/14
E00072,CNT016,PRO0047,start,12/28/16
E00073,CNT016,PRO0047,expansion,6/28/17
E00074,CNT016,PRO0047,expansion,3/28/18
E00075,CNT016,PRO0048,start,7/16/13
E00076,CNT016,PRO0048,expansion,12/16/14
E00077,CNT016,PRO0048,expansion,6/16/17
E00078,CNT016,PRO0048,cancel,6/16/19
E00079,CNT017,PRO0049,start,1/7/20
E00080,CNT017,PRO0050,start,11/9/21
E00081,CNT017,PRO0050,expansion,6/9/23
E00082,CNT017,PRO0050,expansion,10/9/23
E00083,CNT018,PRO0053,start,11/30/16
E00084,CNT018,PRO0053,expansion,8/30/18
E00085,CNT018,PRO0053,expansion,5/30/21
E00086,CNT018,PRO0053,cancel,9/30/22
E00087,CNT018,PRO0054,start,6/23/19
E00088,CNT018,PRO0054,expansion,3/23/20
E00089,CNT018,PRO0054,expansion,11/23/22
E00090,CNT018,PRO0054,expansion,9/23/23
E00091,CNT019,PRO0055,start,2/22/17
E00092,CNT019,PRO0056,start,3/28/12
E00093,CNT019,PRO0056,expansion,11/28/12
E00094,CNT019,PRO0056,expansion,8/28/13
E00095,CNT019,PRO0056,cancel,5/28/14
E00096,CNT019,PRO0057,start,4/14/16
E00097,CNT019,PRO0057,expansion,2/14/17
E00098,CNT019,PRO0057,expansion,7/14/17
E00099,CNT019,PRO0057,cancel,12/14/19
E00100,CNT020,PRO0059,start,1/7/20
E00101,CNT020,PRO0059,expansion,7/7/20
E00102,CNT020,PRO0059,cancel,2/7/21
E00103,CNT021,PRO0062,start,6/22/16
E00104,CNT021,PRO0062,expansion,2/22/17
E00105,CNT021,PRO0062,expansion,4/22/19
E00106,CNT021,PRO0062,expansion,2/22/22
E00107,CNT021,PRO0063,start,5/7/20
E00108,CNT021,PRO0063,expansion,10/7/22
E00109,CNT022,PRO0065,start,4/27/18
E00110,CNT022,PRO0065,expansion,5/27/18
E00111,CNT023,PRO0068,start,12/20/13
E00112,CNT023,PRO0068,expansion,5/20/15
E00113,CNT023,PRO0068,expansion,12/20/16
E00114,CNT023,PRO0068,cancel,5/20/18
E00115,CNT024,PRO0070,start,3/17/17
E00116,CNT024,PRO0071,start,10/14/15
E00117,CNT024,PRO0071,expansion,11/14/16
E00118,CNT024,PRO0071,expansion,9/14/18
E00119,CNT024,PRO0071,cancel,10/14/20
E00120,CNT025,PRO0074,start,8/22/15
E00121,CNT025,PRO0074,expansion,1/22/17
E00122,CNT025,PRO0074,expansion,4/22/18
E00123,CNT025,PRO0074,expansion,3/22/20
E00124,CNT025,PRO0074,expansion,12/22/22
E00125,CNT025,PRO0075,start,3/3/15
E00126,CNT025,PRO0075,expansion,12/3/15
E00127,CNT026,PRO0076,start,1/21/20
E00128,CNT026,PRO0077,start,5/25/15
E00129,CNT026,PRO0077,expansion,4/25/17
E00130,CNT026,PRO0077,expansion,4/25/19
E00131,CNT026,PRO0077,cancel,5/25/20
E00132,CNT027,PRO0080,start,7/25/14
E00133,CNT027,PRO0080,expansion,4/25/15
E00134,CNT027,PRO0080,expansion,10/25/16
E00135,CNT027,PRO0080,cancel,4/25/19
E00136,CNT027,PRO0081,start,4/19/18
E00137,CNT027,PRO0081,expansion,7/19/18
E00138,CNT027,PRO0081,expansion,6/19/19
E00139,CNT027,PRO0081,expansion,5/19/21
E00140,CNT027,PRO0081,cancel,4/19/23
E00141,CNT028,PRO0083,start,4/3/20
E00142,CNT028,PRO0083,expansion,8/3/20
E00143,CNT028,PRO0083,expansion,5/3/23
E00144,CNT029,PRO0085,start,11/28/13
E00145,CNT029,PRO0086,start,4/2/14
E00146,CNT029,PRO0086,expansion,6/2/14
E00147,CNT029,PRO0086,cancel,1/2/16
E00148,CNT029,PRO0087,start,4/18/17
E00149,CNT029,PRO0087,expansion,8/18/18
E00150,CNT029,PRO0087,expansion,2/18/21
E00151,CNT029,PRO0087,expansion,7/18/22
E00152,CNT029,PRO0087,cancel,3/18/23
E00153,CNT030,PRO0090,start,8/29/21
E00154,CNT030,PRO0090,expansion,9/29/22
E00155,CNT031,PRO0092,start,3/31/21
E00156,CNT031,PRO0092,expansion,2/28/22
E00157,CNT031,PRO0092,expansion,4/28/23
E00158,CNT032,PRO0095,start,7/9/19
E00159,CNT032,PRO0095,expansion,4/9/21
E00160,CNT033,PRO0098,start,9/1/21
E00161,CNT033,PRO0098,expansion,5/1/22
E00162,CNT033,PRO0098,expansion,5/1/23
E00163,CNT034,PRO0101,start,7/25/17
E00164,CNT034,PRO0101,expansion,3/25/19
E00165,CNT034,PRO0101,cancel,8/25/21
E00166,CNT035,PRO0104,start,11/28/16
E00167,CNT035,PRO0104,expansion,7/28/18
E00168,CNT035,PRO0104,cancel,5/28/20
E00169,CNT036,PRO0107,start,11/17/18
E00170,CNT036,PRO0107,expansion,6/17/19
E00171,CNT036,PRO0107,cancel,10/17/21
E00172,CNT036,PRO0108,start,3/23/19
E00173,CNT036,PRO0108,expansion,7/23/20
E00174,CNT036,PRO0108,expansion,1/23/22
E00175,CNT037,PRO0110,start,6/11/22
E00176,CNT037,PRO0110,expansion,2/11/23
E00177,CNT037,PRO0110,expansion,4/11/23
E00178,CNT037,PRO0111,start,6/16/12
E00179,CNT037,PRO0111,expansion,3/16/14
E00180,CNT037,PRO0111,cancel,2/16/16
E00181,CNT038,PRO0113,start,2/22/22
E00182,CNT038,PRO0113,expansion,6/22/22
E00183,CNT038,PRO0114,start,9/1/16
E00184,CNT038,PRO0114,expansion,1/1/17
E00185,CNT038,PRO0114,expansion,2/1/18
E00186,CNT039,PRO0117,start,4/23/17
E00187,CNT039,PRO0117,expansion,12/23/17
E00188,CNT039,PRO0117,expansion,3/23/18
E00189,CNT040,PRO0118,start,3/6/18
E00190,CNT040,PRO0119,start,9/28/19
E00191,CNT040,PRO0119,expansion,2/28/20
E00192,CNT040,PRO0119,cancel,11/28/21
E00193,CNT041,PRO0123,start,8/2/22
E00194,CNT041,PRO0123,expansion,5/2/23
E00195,CNT042,PRO0125,start,5/14/18
E00196,CNT042,PRO0125,expansion,2/14/20
E00197,CNT042,PRO0125,cancel,1/14/22
E00198,CNT043,PRO0129,start,8/22/19
E00199,CNT043,PRO0129,expansion,7/22/21
E00200,CNT043,PRO0129,cancel,5/22/23
E00201,CNT044,PRO0130,start,9/28/23
E00202,CNT044,PRO0131,start,9/5/14
E00203,CNT044,PRO0131,expansion,5/5/16
E00204,CNT044,PRO0131,expansion,1/5/18
E00205,CNT044,PRO0131,expansion,9/5/18
E00206,CNT045,PRO0135,expansion,3/11/23
E00207,CNT045,PRO0135,expansion,4/11/23
E00208,CNT045,PRO0135,start,12/11/23
E00209,CNT046,PRO0136,start,6/21/22
E00210,CNT046,PRO0137,start,6/21/21
E00211,CNT046,PRO0137,expansion,3/21/23
E00212,CNT046,PRO0137,expansion,4/21/23
E00213,CNT046,PRO0137,expansion,4/21/23
E00214,CNT046,PRO0137,expansion,10/21/23
E00215,CNT046,PRO0137,cancel,12/5/23
E00216,CNT047,PRO0140,start,11/25/13
E00217,CNT047,PRO0140,expansion,11/25/15
E00218,CNT047,PRO0140,expansion,2/25/18
E00219,CNT047,PRO0140,cancel,10/25/19
E00220,CNT048,PRO0144,start,7/2/14
E00221,CNT048,PRO0144,expansion,6/2/15
E00222,CNT049,PRO0146,start,3/2/13
E00223,CNT049,PRO0146,expansion,1/2/15
E00224,CNT049,PRO0146,expansion,8/2/16
E00225,CNT049,PRO0146,expansion,5/2/18
E00226,CNT049,PRO0146,cancel,9/2/20
E00227,CNT050,PRO0149,start,7/5/16
E00228,CNT050,PRO0149,expansion,12/5/16
E00229,CNT050,PRO0149,expansion,12/5/17
E00230,CNT050,PRO0149,cancel,1/5/19
E00231,CNT051,PRO0151,start,3/10/15
E00232,CNT051,PRO0152,start,4/6/18
E00233,CNT051,PRO0152,expansion,1/6/19
E00234,CNT051,PRO0152,expansion,4/6/21
E00235,CNT051,PRO0153,start,12/26/13
E00236,CNT051,PRO0153,expansion,2/26/15
E00237,CNT051,PRO0153,cancel,11/26/17
E00238,CNT052,PRO0156,start,3/20/17
E00239,CNT052,PRO0156,expansion,12/20/18
E00240,CNT053,PRO0159,start,8/1/18
E00241,CNT053,PRO0159,expansion,11/1/18
E00242,CNT053,PRO0159,expansion,9/1/19
E00243,CNT054,PRO0161,start,3/16/18
E00244,CNT054,PRO0161,expansion,12/16/18
E00245,CNT054,PRO0161,expansion,9/16/21
E00246,CNT055,PRO0164,start,11/6/16
E00247,CNT055,PRO0164,expansion,6/6/18
E00248,CNT055,PRO0164,expansion,1/6/20
E00249,CNT055,PRO0165,start,7/8/15
E00250,CNT055,PRO0165,expansion,4/8/16
E00251,CNT055,PRO0165,cancel,6/8/18
E00252,CNT056,PRO0167,expansion,7/11/23
E00253,CNT056,PRO0167,start,8/11/23
E00254,CNT056,PRO0168,start,6/23/15
E00255,CNT056,PRO0168,expansion,1/23/17
E00256,CNT056,PRO0168,cancel,10/23/18
E00257,CNT057,PRO0169,start,2/25/12
E00258,CNT057,PRO0170,start,4/13/22
E00259,CNT057,PRO0170,expansion,4/13/23
E00260,CNT057,PRO0170,expansion,10/13/23
E00261,CNT057,PRO0171,start,7/2/12
E00262,CNT057,PRO0171,expansion,6/2/13
E00263,CNT057,PRO0171,cancel,9/2/14
E00264,CNT058,PRO0172,start,6/17/13
E00265,CNT058,PRO0173,start,1/31/12
E00266,CNT058,PRO0173,expansion,3/31/12
E00267,CNT058,PRO0173,expansion,10/31/14
E00268,CNT059,PRO0176,start,6/29/12
E00269,CNT059,PRO0176,expansion,4/29/14
E00270,CNT059,PRO0176,expansion,11/29/15
E00271,CNT059,PRO0176,expansion,12/29/16
E00272,CNT059,PRO0176,cancel,8/29/19
E00273,CNT059,PRO0177,start,7/28/16
E00274,CNT059,PRO0177,expansion,12/28/17
E00275,CNT059,PRO0177,expansion,10/28/20
E00276,CNT060,PRO0180,start,8/2/15
E00277,CNT060,PRO0180,expansion,9/2/15
E00278,CNT061,PRO0182,expansion,3/22/23
E00279,CNT061,PRO0182,start,4/22/23
E00280,CNT061,PRO0183,start,4/29/13
E00281,CNT061,PRO0183,expansion,2/28/14
E00282,CNT061,PRO0183,expansion,9/28/14
E00283,CNT061,PRO0183,expansion,11/28/16
E00284,CNT061,PRO0183,expansion,4/28/18
E00285,CNT062,PRO0185,start,7/19/16
E00286,CNT062,PRO0185,expansion,7/19/17
E00287,CNT062,PRO0185,expansion,2/19/20
E00288,CNT062,PRO0185,cancel,2/19/21
E00289,CNT062,PRO0186,start,2/11/12
E00290,CNT062,PRO0186,expansion,10/11/12
